@relation FirstSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
P,D,P,D,D,B,B,B,B,D,A,A,RAJASTHAN,S.C,59.17,78.31
C,B,P,D,A,C,B,C,C,B,B,B,'ANDHRA PRADESH',OPEN,92.5,97
C,D,D,P,D,B,A,C,B,D,B,B,RAJASTHAN,S.T,68.83,76.77
C,P,P,F,F,P,B,C,D,B,A,B,TRIPURA,S.C,95,67
A,B,B,P,D,EX,A,B,B,A,B,B,HARYANA,S.C,89,78.6
D,P,P,P,P,C,B,C,D,C,A,B,BIHAR,O.B.C,8,71.8
D,F,F,P,P,D,C,C,C,D,A,A,TRIPURA,S.T,45,46.5
D,P,P,D,D,C,B,C,B,D,A,A,RAJASTHAN,S.T,88.4,66.8
P,F,F,F,F,F,B,C,C,D,A,A,TRIPURA,S.C,68.57,56.4
C,P,P,F,F,D,B,C,B,B,A,A,BIHAR,O.B.C,86,70.4
C,B,A,B,A,EX,B,C,B,B,A,A,'UTTAR PRADESH',OPEN,78.6,77.2
C,A,A,B,C,A,A,A,C,B,A,A,'UTTAR PRADESH',O.B.C,84.4,80.4
B,C,P,P,B,C,B,A,D,C,A,A,BIHAR,O.B.C,90.01,73
P,F,F,F,F,D,C,D,D,C,B,A,BIHAR,S.C,66,58.6
C,C,D,P,F,C,B,B,C,B,A,A,TRIPURA,OPEN,82,66.8
A,A,B,B,B,A,A,B,B,B,A,B,'UTTAR PRADESH',OPEN,93.1,87
B,P,P,F,D,D,B,B,C,D,A,B,TRIPURA,OPEN,91.2,72.6
D,D,P,C,C,C,C,C,B,D,A,B,RAJASTHAN,S.T,77.5,68
P,D,P,C,D,B,B,C,C,D,A,B,RAJASTHAN,O.B.C,72.67,72
F,F,P,D,D,B,B,D,C,C,B,B,BIHAR,S.C,69,76
D,P,P,F,D,C,B,B,B,B,A,B,'UTTAR PRADESH',OPEN,60,70
B,B,A,A,B,A,A,D,A,A,B,B,'MADHYA PRADESH',OPEN,92.4,76.2
B,C,D,C,B,B,A,B,B,C,A,B,TRIPURA,OPEN,91.2,82
D,P,D,P,D,A,A,C,B,C,A,B,BIHAR,OPEN(PH),77.8,75.4
D,D,D,D,P,D,C,C,B,C,A,B,RAJASTHAN,S.T,73.33,64.31
B,D,D,P,D,D,A,C,B,B,A,B,TRIPURA,OPEN,87.42,72.5
D,P,D,P,P,B,C,C,B,D,B,A,TRIPURA,OPEN,76,77
B,A,A,EX,A,EX,B,B,C,A,A,A,BIHAR,O.B.C,89.6,85.4
