@relation SecondSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
A,B,A,A,B,A,A,B,A,B,C,B,EX,EX,A,A,EX,B,B,EX,B,A,B,BIHAR,O.B.C,85.6,86.8
B,C,B,B,C,B,A,A,B,B,C,B,A,C,B,A,B,C,B,C,A,B,B,TRIPURA,OPEN,88.8,80.8
B,D,P,C,P,P,B,B,A,B,C,B,C,D,B,D,P,C,D,B,B,B,B,'UTTAR PRADESH',OPEN,90,62.6
B,C,D,B,B,B,C,B,B,B,B,B,A,C,D,A,B,C,A,D,A,B,B,'UTTAR PRADESH',OPEN,92.4,85.2
A,C,C,C,F,C,C,B,B,F,F,B,C,C,D,B,D,B,A,C,A,B,B,BIHAR,OPEN,93,91.8
B,C,D,C,D,P,A,A,B,C,D,B,B,D,D,A,A,P,B,EX,A,B,B,TRIPURA,OPEN,82.4,69.4
P,C,D,D,P,D,B,C,C,C,D,B,B,P,F,F,P,F,B,C,B,C,B,RAJASTHAN,S.C,75.33,76.46
C,P,F,P,P,D,C,C,C,B,D,B,C,P,P,C,C,F,D,B,B,B,B,TRIPURA,S.C,71.7,53.8
B,P,P,P,D,P,A,B,B,C,C,B,A,C,D,A,D,B,A,B,EX,A,B,TRIPURA,OPEN,93.89,89.7
C,F,P,F,F,P,C,D,D,D,D,B,F,F,F,P,F,F,D,D,A,D,B,TRIPURA,S.C,52.28,46.8
A,F,P,F,P,F,B,B,C,B,C,B,P,P,F,F,P,F,B,D,A,D,B,TRIPURA,S.C,76.8,57.6
B,F,P,F,D,P,C,B,B,C,D,B,C,D,D,C,D,C,B,C,A,C,C,TRIPURA,OPEN,89,77.2
C,P,P,C,F,P,B,C,C,D,C,B,D,F,D,C,D,P,C,D,B,D,B,TRIPURA,S.C,63.29,48.8
B,D,P,P,F,P,C,C,C,C,C,B,A,C,D,F,B,D,B,C,B,C,B,'UTTAR PRADESH',OPEN,78.2,73.4
C,D,P,F,D,D,C,B,D,D,D,B,C,P,P,D,D,P,B,B,B,C,B,TRIPURA,S.C,81,76.8
B,A,C,B,D,B,B,C,A,B,C,B,A,A,A,A,A,B,A,A,A,A,A,DELHI,OPEN,91.6,89.6
B,P,D,F,F,P,B,B,C,D,C,B,C,P,P,C,P,F,C,B,B,D,B,TRIPURA,OPEN,83,73.4
D,F,P,D,F,F,C,D,C,D,C,B,C,P,F,P,P,P,D,C,A,D,B,TRIPURA,OPEN(PH),59.2,57.4
A,A,D,B,C,B,A,A,A,B,D,B,EX,C,EX,A,A,C,B,B,EX,B,B,TRIPURA,O.B.C,89.4,81
C,C,D,B,C,B,B,B,B,B,B,B,EX,C,C,B,B,B,B,B,A,B,B,BIHAR,O.B.C,81.4,61.4
B,F,P,D,F,P,A,B,B,C,D,B,C,D,C,A,D,C,C,B,A,C,C,TRIPURA,S.C,85.2,71
D,P,P,P,F,F,C,C,B,D,C,B,F,F,F,F,P,F,C,D,B,D,B,TRIPURA,S.C,59.43,47.4
D,F,P,C,F,P,B,C,B,C,D,B,A,P,P,D,D,D,C,C,B,C,B,TRIPURA,S.C,58.85,52
D,F,P,P,F,F,B,C,C,D,C,A,D,P,P,D,P,F,C,C,A,D,B,TRIPURA,OPEN,53,53
